iter	Passed	Remaining
437	1273	1634
438	1278	1633
439	1279	1628
440	1281	1624
441	1283	1620
442	1285	1615
443	1286	1611
444	1289	1607
445	1293	1606
446	1294	1602
447	1296	1598
448	1299	1594
449	1301	1590
450	1303	1586
451	1306	1583
452	1309	1581
453	1312	1578
454	1314	1574
455	1316	1570
456	1318	1566
457	1321	1563
458	1323	1559
459	1325	1555
460	1327	1551
461	1329	1547
462	1331	1543
463	1332	1539
464	1335	1536
465	1337	1533
466	1339	1528
467	1341	1524
468	1343	1520
469	1345	1517
470	1347	1513
471	1350	1510
472	1353	1507
473	1355	1503
474	1357	1500
475	1359	1496
476	1360	1492
477	1362	1488
478	1365	1485
479	1368	1482
480	1370	1479
481	1372	1475
482	1375	1471
483	1377	1468
484	1380	1465
485	1382	1462
486	1384	1458
487	1386	1454
488	1388	1450
489	1390	1447
490	1392	1443
491	1394	1439
492	1396	1436
493	1398	1432
494	1399	1427
495	1401	1424
496	1403	1420
497	1405	1416
498	1407	1412
499	1409	1409
500	1412	1407
501	1414	1403
502	1416	1399
503	1418	1395
504	1420	1392
505	1422	1388
506	1425	1386
507	1427	1382
508	1429	1378
509	1430	1374
510	1432	1371
511	1434	1367
512	1436	1363
513	1438	1360
514	1440	1356
515	1442	1353
516	1444	1349
517	1446	1346
518	1448	1342
519	1450	1339
520	1452	1335
521	1455	1332
522	1457	1329
523	1459	1325
524	1461	1322
525	1463	1319
526	1466	1316
527	1470	1314
528	1472	1311
529	1474	1307
530	1476	1303
531	1478	1300
532	1479	1296
533	1481	1293
534	1484	1290
535	1487	1287
536	1489	1283
537	1490	1280
538	1492	1276
539	1494	1273
540	1497	1270
541	1499	1267
542	1502	1264
543	1503	1260
544	1506	1257
545	1508	1254
546	1509	1250
547	1511	1246
548	1515	1244
549	1518	1242
550	1520	1238
551	1522	1235
552	1523	1231
553	1525	1228
554	1527	1224
555	1530	1222
556	1532	1218
557	1534	1215
558	1536	1212
559	1539	1209
560	1541	1205
561	1543	1202
562	1546	1200
563	1548	1196
564	1550	1193
565	1552	1190
566	1554	1186
567	1556	1183
568	1558	1180
569	1561	1177
570	1563	1174
571	1565	1171
572	1567	1167
573	1569	1164
574	1576	1165
575	1579	1162
576	1581	1159
577	1583	1155
578	1585	1152
579	1586	1149
580	1589	1146
581	1592	1143
582	1594	1140
583	1596	1137
584	1598	1133
585	1600	1130
586	1602	1127
587	1604	1124
588	1606	1121
589	1608	1117
590	1610	1114
591	1614	1112
592	1616	1109
593	1619	1107
594	1621	1103
595	1623	1100
596	1625	1097
597	1627	1093
598	1628	1090
599	1630	1087
600	1633	1084
601	1636	1081
602	1637	1078
603	1639	1075
604	1642	1072
605	1644	1068
606	1646	1065
607	1648	1062
608	1650	1059
609	1652	1056
610	1654	1053
611	1656	1050
612	1659	1047
613	1661	1044
614	1664	1041
615	1666	1038
616	1667	1035
617	1669	1032
618	1671	1028
619	1673	1025
620	1675	1022
621	1678	1019
622	1680	1016
623	1682	1013
624	1684	1010
625	1686	1007
626	1687	1004
627	1689	1000
628	1694	999
629	1696	996
630	1698	993
631	1700	990
632	1702	986
633	1703	983
634	1707	981
635	1709	978
636	1711	975
637	1713	972
638	1715	968
639	1716	965
640	1718	962
641	1720	959
642	1723	956
643	1725	953
644	1727	950
645	1729	947
646	1731	944
647	1732	941
648	1734	938
649	1738	936
650	1740	933
651	1742	929
652	1744	926
653	1746	923
654	1748	920
655	1749	917
656	1751	914
657	1753	911
658	1755	908
659	1757	905
660	1760	902
661	1762	900
662	1766	898
663	1768	894
664	1770	891
665	1772	888
666	1774	885
667	1775	882
668	1777	879
669	1778	876
670	1782	874
671	1784	871
672	1786	867
673	1787	864
674	1789	861
675	1791	858
676	1793	855
677	1796	853
678	1799	850
679	1801	847
680	1802	844
681	1804	841
682	1806	838
683	1808	835
684	1811	833
685	1813	830
686	1815	827
687	1817	824
688	1819	821
689	1821	818
690	1823	815
691	1826	813
692	1828	810
693	1830	807
694	1832	804
695	1834	801
696	1836	798
697	1838	795
698	1840	792
699	1842	789
700	1844	786
701	1846	783
702	1848	781
703	1850	778
704	1853	775
705	1856	772
706	1857	769
707	1859	766
708	1861	763
709	1863	761
710	1865	758
711	1866	755
712	1869	752
713	1871	749
714	1873	746
715	1875	743
716	1877	740
717	1879	738
718	1881	735
719	1883	732
720	1886	729
721	1887	726
722	1889	724
723	1891	721
724	1893	718
725	1895	715
726	1897	712
727	1900	709
728	1901	706
729	1903	704
730	1905	701
731	1907	698
732	1908	695
